NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_1n,291.5520822,2354.302603,57.07974795,177.8428027,1924.558356,70.6728863,0.939916772,1168.329455,674.7354252,73,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,256.919875,2138.241625,63.14047375,138.5785698,1533.908,75.568455,0.898104099,949.0596461,479.8769518,80,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,272.7378788,2210.723586,63.29664646,198.0861657,1980.207576,71.56142172,0.894921196,985.1614445,697.1254126,198,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,295.7540466,2240.982094,64.25463867,225.9286492,2051.546755,70.19091239,0.947953775,990.8696369,740.7871775,339,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,294.0965131,2435.768415,57.4597747,192.7224704,2026.786738,67.74702744,0.933476119,1201.340427,772.1568393,328,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,283.8900308,2243.156725,60.011856,201.2881435,1904.556365,71.706303,0.93567216,1068.010262,670.5443883,400,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,271.905936,2295.746548,63.5211756,196.6451464,1904.654464,69.46435,0.914043149,1012.359308,707.0276047,336,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,287.0046284,2240.124487,67.48526217,209.2933587,2007.206217,70.40078006,0.912097526,922.9489118,732.2285462,341,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,275.7011011,2351.257457,60.29505286,208.623847,1973.357371,69.018648,0.934761206,1104.083634,735.2471527,350,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,294.2791851,2352.880938,61.19414375,216.626271,2003.126319,69.13633611,0.904467815,1089.651803,754.6901186,288,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,362.9768384,2611.200714,57.6684,190.1414529,1998.347875,71.83034286,0.950158736,1307.182467,680.3396149,112,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,292.0682846,2381.899404,60.83097154,206.2781588,2126.979363,70.7582523,0.94942517,1109.501764,748.9289148,369,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,298.774879,2365.05688,60.7094867,222.0739297,2100.275038,70.03716496,0.921506069,1113.878425,772.0415519,391,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,283.2016939,2316.03552,61.6975896,204.3184208,1994.367659,69.36254162,0.882192697,1059.976192,743.1388647,346,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,274.2136021,2304.822622,58.53823323,212.9982671,2233.757927,71.66704695,0.923972355,1117.185188,767.8577538,328,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,316.0077447,2440.537456,61.93975976,214.4543814,2194.810473,68.78952722,0.942662223,1121.683765,808.7841253,338,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,279.6865405,2124.353326,68.14603181,211.0616514,1906.638274,67.66368981,0.902913232,879.679068,748.885334,481,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,290.1949319,2382.431765,61.8970395,222.9340384,2161.072017,70.42088849,0.949799154,1087.057352,762.4738661,357,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,278.8689881,2326.818531,58.983415,206.0982322,2259.751781,71.687525,0.902348348,1115.446366,781.9470082,320,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,280.5531437,2334.951767,63.01738358,218.5818224,2019.258482,68.87214054,0.961252994,1041.931226,747.7542876,481,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,284.2924539,2298.07148,61.28687303,214.5224069,1986.795888,68.94353717,0.903494563,1063.215042,752.1583594,304,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,276.745054,2167.031934,64.84025693,223.4929442,2102.097044,69.86339818,0.878598312,939.189558,777.3194787,274,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,285.6106175,2360.322168,60.60511014,215.5167993,2106.549895,69.10312028,0.897648602,1099.654362,787.079747,286,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,319.606917,2484.8991,59.598009,207.3688509,1985.572847,69.31383479,0.934451008,1189.019693,744.0680826,411,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,307.3913997,2408.123911,59.34983464,234.7996401,2134.818631,68.19816872,0.918478587,1158.156234,823.6321255,358,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,287.9079609,2308.997885,63.79443526,189.9836058,1980.083974,71.58699583,0.930203817,1021.162118,691.2472774,312,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,320.1545604,2409.677857,64.41474835,192.7547074,2050.20489,68.09968599,0.918375847,1061.733256,774.3418158,364,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,299.2633735,2358.118594,61.47976185,221.5697738,2212.093936,71.50989357,0.953489348,1089.541325,764.2208389,249,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,292.2317087,2379.619965,59.64980556,244.8439941,2104.165382,67.67522778,0.931652197,1130.650441,828.1903346,288,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,289.0542672,2303.561983,60.39959526,196.5293155,2131.727802,71.21517543,0.933617511,1086.892251,737.9500158,232,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,269.9197314,2530.782835,52.18832261,212.9170016,2246.613333,72.11205057,0.930244206,1345.829391,763.2493327,261,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,308.1678829,2368.813295,61.13251705,213.487562,2096.106899,67.05857287,0.901511727,1105.958212,828.6765512,258,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,311.3521498,2378.929494,66.92263333,212.9738065,2101.766287,70.47699578,0.942238225,993.2247057,757.3277814,237,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,275.5716898,2277.992642,63.48635321,226.5742694,2058.100943,68.84925887,0.883265681,1010.016294,797.5587455,265,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,309.730423,2381.440483,62.46383755,217.228503,1934.897695,67.6627487,0.918768991,1087.54834,759.9734643,269,Activated,M,20221101,CD69+,NK-Cells
NK_act_2n,260.0620103,2198.872759,61.4104,139.2638172,2012.703793,69.95125,0.96526,1008.091426,654.737979,58,Activated,M,20221101,CD69+,NK-Cells
