,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Cell_Size_Pix,activation_label,Activation
546,970.3978658,70.18512791,435.4300233,2234.357209,389.8327885,84.33437674,126.8040419,1827.144884,1.135457334,43,1,CD69+
105,1225.690087,62.84504167,384.996,2651.61,686.1993588,74.37441667,195.9670417,2115.3275,1.085228703,12,0,CD69-
1139,1034.241854,69.35371111,410.3452778,2447.844722,769.4265818,76.92016389,345.8630111,2225.825833,1.341378975,36,1,CD69+
484,816.0834736,73.76727763,363.8175,2101.52,604.3865287,77.38973947,195.1902763,2024.501447,0.635467885,76,1,CD69+
773,1123.418548,61.70179863,335.874,2395.76411,703.1248993,75.66275753,199.7006356,2268.306438,0.789591995,73,0,CD69-
20,1418.991894,51.50992353,475.6223529,2420.299412,539.7169221,80.61843529,118.4687529,2297.228824,1.111794908,17,0,CD69-
242,1447.307177,51.69805385,410.2041154,2564.338846,596.0673022,80.83887885,154.2175737,2456.946731,0.999274702,156,0,CD69-
50,1242.825315,58.4716,391.3735385,2447.793077,903.7799761,76.38382308,441.5893846,2442.506923,1.087441301,13,0,CD69-
162,861.9861935,75.97698333,418.2593889,2268.457778,491.4082713,80.77408889,160.0345222,1931.533333,1.265341136,18,1,CD69+
996,1283.309051,55.14270323,318.4777581,2468.958548,1013.598438,68.7956,306.3522661,2627.040645,1.124234666,62,0,CD69-
609,1155.663577,56.45151111,281.4301481,2295.55037,808.4718402,73.59956667,248.5918519,2401.877407,0.929312018,27,0,CD69-
729,1255.056111,56.68949659,350.3507955,2444.937955,761.574311,75.43219432,227.4248955,2437.279659,0.892731864,88,0,CD69-
301,1465.260891,56.84068235,513.7565294,2752.660588,544.0420062,81.67852941,164.4258647,2254.554314,1.077548359,51,0,CD69-
172,1073.165406,67.9716875,443.830625,2414.66875,550.3348416,80.1214625,190.76225,2021.374375,1.251792661,16,1,CD69+
762,1223.084125,56.500695,332.05065,2393.151,796.0433397,73.34317,225.78313,2371.387,1.058914892,20,0,CD69-
1044,737.7105731,80.49746471,397.2135546,2145.744706,732.5946402,75.85931765,258.5354874,2237.775294,1.206447306,119,1,CD69+
615,1179.619297,56.36130455,314.0042909,2309.748455,788.9488094,73.46699909,205.2750891,2420.059182,1.001278606,110,0,CD69-
780,1149.555382,61.15799259,356.7867407,2412.41963,780.1982957,72.57801481,213.8697407,2287.904444,0.718620731,27,0,CD69-
210,1454.653134,50.64366046,432.5469049,2517.028669,652.8961896,76.6673924,156.9393475,2293.470798,0.99475617,263,0,CD69-
344,830.6943214,77.69350792,429.2485198,2232.748812,663.4710422,76.38710545,203.3325847,2165.765495,1.008510367,202,1,CD69+
306,1482.599524,55.82496757,467.0774595,2785.914054,661.2137636,74.88306757,176.4059108,2114.621351,0.883171828,37,0,CD69-
217,1664.616039,50.24131176,713.008,2635.993529,776.9350607,70.19910294,163.6166176,2222.880882,0.833094249,34,0,CD69-
1185,1015.501226,66.86471176,382.7841765,2298.551176,785.943996,75.61511765,293.8047059,2343.23,1.291386255,17,1,CD69+
971,1216.512305,57.86975769,305.5280769,2470.985897,783.8035302,74.11089615,221.2119,2395.645,1.044949043,78,0,CD69-
378,873.5733311,73.54549659,411.7723636,2161.442841,613.8254477,78.12533466,235.8394773,1991.574943,1.15611557,176,1,CD69+
167,1083.398464,68.56339828,452.2022931,2470.28069,720.8487389,79.64025862,310.8514828,2363.616034,1.196792635,58,1,CD69+
421,744.4431557,80.39848444,415.8050667,2107.934444,517.5425709,78.54710667,178.2031133,1778.823333,1.105726143,45,1,CD69+
1019,1125.160401,59.9039,242.3212222,2447.271111,811.6659256,77.85667778,287.7196667,2657.391111,1.175087884,9,0,CD69-
12,1277.247164,58.25192353,463.3671765,2419.094706,471.9226572,82.04573235,123.7068029,2060.559118,1.06421562,34,0,CD69-
522,597.1829169,79.93600476,247.0251905,1994.324762,236.1687736,89.74389048,68.14604762,1710.900476,0.845288988,21,1,CD69+
68,1507.880586,60.13807,687.838,2841.17625,658.4459365,78.620615,193.0000875,2394.3655,1.000725283,40,0,CD69-
90,1249.667285,58.010725,456.0522917,2353.954167,779.6884114,74.55097083,258.5962917,2323.03875,1.120066997,24,0,CD69-
380,853.3961322,75.57554468,419.4426383,2206.588298,572.8536967,78.92288085,189.2675532,2032.032128,1.121587003,47,1,CD69+
372,747.1888299,79.54073111,403.8292222,2093.873778,455.4451574,79.37533556,147.4271156,1645.563778,1.137163699,45,1,CD69+
258,1502.076434,48.95311616,419.6818889,2551.734545,767.521725,74.71024949,223.6537162,2385.385859,0.885770505,99,0,CD69-
304,1621.153894,45.81639725,501.3692339,2580.37078,822.1013197,71.86508073,208.3855532,2409.217248,0.919309931,218,0,CD69-
1080,988.7781913,70.41243158,404.2206053,2381.846579,756.1860245,78.07277368,318.2977842,2369.653158,1.411927601,38,1,CD69+
410,953.8917433,69.65811959,420.4172165,2200.466804,584.119053,80.06263608,205.4564433,2113.425155,1.049093761,97,1,CD69+
1168,1002.855193,69.97041846,401.9231385,2402.839231,797.5891916,77.18789692,360.4199754,2313.062923,1.400795258,65,1,CD69+
1207,828.4560071,75.204675,375.126375,2203.4,499.1435311,84.5269375,219.0283875,2100.19125,1.395874151,16,1,CD69+
42,1322.697962,53.55088333,399.2245,2388.0825,591.014225,80.981725,189.7730667,2315.931667,1.069257946,12,0,CD69-
208,1300.957771,54.18387652,361.7235043,2423.641739,595.6794466,78.97782174,136.0620696,2349.753739,0.881975155,115,0,CD69-
795,1214.783848,59.15056552,350.6494569,2470.315172,801.1148636,74.75378707,232.4362078,2525.735431,1.080148442,116,0,CD69-
649,1178.189145,59.55808571,353.6100714,2397.813571,781.1518854,74.11783571,229.6463643,2419.914286,1.067996999,14,0,CD69-
938,1263.246459,54.70735763,302.4120678,2430.134576,1018.658326,65.91675593,272.734078,2501.26339,0.985352398,59,0,CD69-
724,1214.57711,55.902334,322.96274,2348.4635,850.84376,72.300893,257.964568,2422.0844,0.955502467,100,0,CD69-
515,909.112274,76.80057586,442.5798621,2466.583793,555.9592354,79.81475172,213.5181034,1915.727586,1.034861082,29,1,CD69+
285,1394.909571,53.43228431,426.9667778,2524.578562,423.8489816,83.84543333,102.3098895,2108.07183,1.077885825,153,0,CD69-
874,1192.269125,56.34694634,290.6852195,2362.145244,881.9135785,70.15346098,229.9359756,2422.780854,0.780803375,82,0,CD69-
71,1375.976917,54.24747541,414.2319344,2540.993607,685.6694975,77.54839836,192.8121295,2403.614918,0.936813952,61,0,CD69-
561,848.3674803,76.88215525,426.0940203,2262.294983,567.1326529,80.00938678,215.1644688,1994.079593,1.108420673,295,1,CD69+
179,1516.535397,55.14731333,563.4581333,2771.624667,522.3684447,82.58012,130.8291333,2378.486667,0.804466133,15,0,CD69-
638,1078.87875,61.29908235,261.6553529,2376.963529,727.5901095,76.97547647,204.4611176,2485.25,0.824975635,17,0,CD69-
1130,932.821552,73.16004375,405.0858125,2374.2725,581.7795116,80.9106375,205.0419313,2186.4375,1.320558861,16,1,CD69+
493,928.1678844,74.61345417,459.1970625,2320.155625,629.142213,76.07204375,223.8395625,1918.310417,0.899866978,48,1,CD69+
