,NADH_tm,NADH_a1,NADH_t1,NADH_t2,FAD_tm,FAD_a1,FAD_t1,FAD_t2,Norm_RR,Activation,Donor
5009,1013.227297,67.59626615,411.0926,2299.204,585.4467164,77.77577385,196.5717677,1961.877538,1.029363381,0,2
5010,1485.750617,57.7612775,550.929525,2805.95425,384.8918797,87.53554,119.638515,2260.776,1.112319561,0,2
5011,907.1510737,72.59872609,328.3671652,2457.155435,267.0316183,89.87066304,57.43525652,2126.081087,0.835180886,0,2
5012,1498.63928,48.02689798,441.8784242,2482.415657,565.4361753,79.76355758,128.4195798,2261.704242,1.061731608,0,2
5013,1061.212688,67.90011976,456.0012455,2353.161916,478.6980741,81.94145629,161.4696647,1919.450898,1.065414092,0,2
5014,1422.025575,52.09312117,373.9503358,2567.515474,425.9674491,84.35778686,95.55656131,2211.626496,1.016903305,0,2
5015,1551.301852,51.22526558,524.1386818,2640.673247,570.0790624,79.46847532,133.5886253,2260.065649,0.953773699,0,2
5016,1522.035937,46.793338,425.0081333,2492.1518,674.9592547,76.64495733,129.7056407,2461.333533,0.798820984,0,2
5017,1360.824069,56.89831827,483.6086442,2540.544327,495.014141,80.06410481,106.2682702,2047.127692,0.945028009,0,2
5018,1314.743803,53.66112077,382.9088385,2403.789308,551.3601156,80.55694462,135.3450069,2277.019462,1.011745367,0,2
5019,1377.589242,51.87851827,349.9937308,2496.965769,498.2623682,81.30963077,142.6459875,2064.296923,1.061328178,0,2
5020,1433.368521,47.44868631,370.611631,2394.020119,478.031331,81.507925,106.4992964,2110.590655,0.918047609,0,2
5021,1294.494695,56.21139273,353.9079636,2505.344818,532.6463608,81.63050727,122.2494909,2355.990273,0.882938595,0,2
5022,1190.95415,59.79511543,426.5597037,2333.775309,485.1116443,80.83323333,138.0667981,1948.596173,0.980073676,0,2
5023,1324.328974,52.75112436,355.1943077,2412.195962,631.2739051,77.74767244,145.0254365,2333.187179,0.891290873,0,2
5024,1081.545716,60.18467213,296.1026393,2275.400164,546.4904733,80.50594754,137.9642557,2237.021639,0.789423104,0,2
5025,1404.078212,52.44474551,448.0878652,2476.824045,623.0927884,78.3728736,140.614932,2374.590449,0.931794417,0,2
5026,1462.450031,48.0590319,382.2937239,2473.824847,437.62382,85.55308712,127.7840718,2253.571104,1.141384476,0,2
5027,965.670992,70.29275739,413.8661136,2273.457159,554.7968313,79.55542955,172.2320483,2052.441591,1.103183477,0,2
5028,1391.761697,55.40996635,379.9234038,2658.274712,445.6981643,83.11617308,103.6442673,2130.450769,1.056025009,0,2
5029,1222.141274,57.54161765,380.5460588,2388.464118,363.7304433,89.0659,111.0631412,2437.005882,1.096911869,0,2
5030,1034.094875,69.63620696,426.0481646,2443.162468,517.5125362,81.84670506,159.9702449,2163.769747,1.057079105,0,2
5031,1163.848409,61.42736667,350.3636667,2465.767333,294.9335971,87.78038667,73.82709333,1907.969333,1.103701128,0,2
5032,1308.467701,51.98406078,317.8918431,2384.460327,549.685074,79.79932288,139.8512908,2180.162484,0.926202071,0,2
5033,1515.021083,48.07631339,417.7969509,2548.066741,617.7524371,79.49599643,151.5350594,2433.858884,0.997439852,0,2
5034,1341.637532,55.85393947,383.0797193,2568.959825,480.8872838,84.8038193,126.7717167,2456.808684,1.098491696,0,2
5035,1300.957771,54.18387652,361.7235043,2423.641739,595.6794466,78.97782174,136.0620696,2349.753739,0.881975155,0,2
5036,1431.332408,54.06790603,455.1195431,2595.468966,502.5383482,80.66936121,128.953519,2062.015603,1.037241662,0,2
5037,1454.653134,50.64366046,432.5469049,2517.028669,652.8961896,76.6673924,156.9393475,2293.470798,0.99475617,0,2
5038,899.4248461,73.13614353,431.8197629,2176.831552,504.294558,82.80169914,154.3770754,2183.277716,1.098792871,0,2
5039,1357.240945,58.922645,449.0865833,2681.0875,505.9086165,82.538165,145.7859667,2181.303333,1.092419282,0,2
5040,910.1310432,73.80301188,425.2160941,2277.698911,521.3213079,83.48322624,189.985,2221.781931,1.116358657,0,2
5041,1308.984444,57.28274715,398.842374,2540.954715,545.8483156,79.30997236,123.2533577,2169.399512,0.904133152,0,2
5042,1681.859316,56.48588824,669.2886765,3056.159118,643.3178988,78.99847647,202.8262941,2307.080294,1.060907584,0,2
5043,1320.326473,53.43825082,376.7681311,2409.988197,613.0632087,78.05967459,136.4728828,2307.456557,0.922378022,0,2
5044,1664.616039,50.24131176,713.008,2635.993529,776.9350607,70.19910294,163.6166176,2222.880882,0.833094249,0,2
5045,1307.23696,58.32054667,429.4998667,2563.768,537.1718271,82.52733333,209.62538,2068.758667,1.136875232,0,2
5046,1531.061315,48.23953684,428.0714211,2561.737368,728.7986901,77.83111579,265.1692053,2369.392632,1.04914523,0,2
5047,1395.794702,59.14565,501.9623125,2709.634375,722.0247683,74.87724375,213.3045625,2255.479375,0.891393966,0,2
5048,1607.104192,46.78953115,509.2301803,2587.048197,612.999121,77.84797459,163.9988516,2188.847459,0.949654825,0,2
5049,1734.097063,53.92059714,693.7529143,3012.934,641.6773468,79.02986,192.8353943,2311.390857,1.004404913,0,2
5050,1488.828944,51.84445,522.8225093,2546.674352,574.2782064,80.65364815,172.6734713,2237.888241,1.024742746,0,2
5051,1256.02965,58.11345403,430.6044435,2409.30121,563.4089166,80.17881129,182.0333581,2119.53629,1.020805717,0,2
5052,1491.575971,57.04269714,520.0299714,2827.107714,471.1409572,87.53895429,209.8275971,2332.135143,1.107202329,0,2
5053,1447.105814,51.66455526,468.2653553,2510.143816,591.8852549,79.96356053,188.1127921,2208.278947,0.969566531,0,2
5054,1160.301022,60.80151154,305.1225128,2483.250128,542.5769763,83.56489359,216.4253513,2201.803718,1.073300532,0,2
