NADH,n.t1.mean,n.t2.mean,n.a1.mean,f.t1.mean,f.t2.mean,f.a1.mean,rr.mean,n.tm.mean,f.tm.mean,npix,Group,Donor,Experiment_Date,Activation,Cell_Type
NK_act_2n,362.9768384,2611.200714,57.6684,190.1414529,1998.347875,71.83034286,0.950158736,1307.182467,680.3396149,112,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,292.0682846,2381.899404,60.83097154,206.2781588,2126.979363,70.7582523,0.94942517,1109.501764,748.9289148,369,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,298.774879,2365.05688,60.7094867,222.0739297,2100.275038,70.03716496,0.921506069,1113.878425,772.0415519,391,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,283.2016939,2316.03552,61.6975896,204.3184208,1994.367659,69.36254162,0.882192697,1059.976192,743.1388647,346,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,274.2136021,2304.822622,58.53823323,212.9982671,2233.757927,71.66704695,0.923972355,1117.185188,767.8577538,328,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,316.0077447,2440.537456,61.93975976,214.4543814,2194.810473,68.78952722,0.942662223,1121.683765,808.7841253,338,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,279.6865405,2124.353326,68.14603181,211.0616514,1906.638274,67.66368981,0.902913232,879.679068,748.885334,481,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,290.1949319,2382.431765,61.8970395,222.9340384,2161.072017,70.42088849,0.949799154,1087.057352,762.4738661,357,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,278.8689881,2326.818531,58.983415,206.0982322,2259.751781,71.687525,0.902348348,1115.446366,781.9470082,320,Activated,M,221101,CD69+,NK-Cells
NK_act_2n,280.5531437,2334.951767,63.01738358,218.5818224,2019.258482,68.87214054,0.961252994,1041.931226,747.7542876,481,Activated,M,221101,CD69+,NK-Cells
